For sentiment,,,,,For Price,,
Day,Date,Sentiment,,,Date,Price,
20130101,1/1/13,0.181432232,,,1/1/13 0:00,13.31,31853.98
20130102,1/2/13,0.181432232,,,1/2/13 0:00,13.29,20312.5
20130103,1/3/13,0.181432232,,,1/3/13 0:00,13.32,22633.92
20130104,1/4/13,0.181432232,,,1/4/13 0:00,13.38,34171.37
20130105,1/5/13,0.181432232,,,1/5/13 0:00,13.38,27169.79
20130106,1/6/13,0.181432232,,,1/6/13 0:00,13.42,14226.85
20130107,1/7/13,0.181432232,,,1/7/13 0:00,13.44,32428.79
20130108,1/8/13,0.181432232,,,1/8/13 0:00,13.66,52160.01
20130109,1/9/13,0.181432232,,,1/9/13 0:00,13.69,35185.69
20130110,1/10/13,0.181432232,,,1/10/13 0:00,14.02,60055.16
20130111,1/11/13,0.181432232,,,1/11/13 0:00,14.1,44371.21
20130112,1/12/13,0.181432232,,,1/12/13 0:00,14.15,30051.71
20130113,1/13/13,0.181432232,,,1/13/13 0:00,14.09,41193.78
20130114,1/14/13,0.181432232,,,1/14/13 0:00,14.19,28206.93
20130115,1/15/13,0.181432232,,,1/15/13 0:00,14.19,58576.77
20130116,1/16/13,0.181432232,,,1/16/13 0:00,14.49,53760.72
20130117,1/17/13,0.181432232,,,1/17/13 0:00,15.14,73812.04
20130118,1/18/13,0.181432232,,,1/18/13 0:00,15.64,65803.2
20130119,1/19/13,0.181432232,,,1/19/13 0:00,15.45,37437.3
20130120,1/20/13,0.181432232,,,1/20/13 0:00,15.67,30272.25
20130121,1/21/13,0.181432232,,,1/21/13 0:00,16.35,75081.41
20130122,1/22/13,0.181432232,,,1/22/13 0:00,17.13,68353.86
20130123,1/23/13,0.181432232,,,1/23/13 0:00,17.2,58029.56
20130124,1/24/13,0.181432232,,,1/24/13 0:00,17.77,196388.19
20130125,1/25/13,0.181432232,,,1/25/13 0:00,16.69,89204.88
20130126,1/26/13,0.181432232,,,1/26/13 0:00,17.13,39107.78
20130127,1/27/13,0.181432232,,,1/27/13 0:00,17.57,30029.41
20130128,1/28/13,0.181432232,,,1/28/13 0:00,18.29,66002.95
20130129,1/29/13,0.181432232,,,1/29/13 0:00,19.14,98623.96
20130130,1/30/13,0.181432232,,,1/30/13 0:00,19.43,50809.65
20130131,1/31/13,0.181432232,,,1/31/13 0:00,20.53,110063.46
20130201,2/1/13,0.181432232,,,2/1/13 0:00,20.7,56241.42
20130202,2/2/13,0.181432232,,,2/2/13 0:00,19.48,88436.87
20130203,2/3/13,0.181432232,,,2/3/13 0:00,20.22,39662.34
20130204,2/4/13,0.181432232,,,2/4/13 0:00,20.41,58735.06
20130205,2/5/13,0.181432232,,,2/5/13 0:00,20.53,33855.04
20130206,2/6/13,0.181432232,,,2/6/13 0:00,21.04,59688.86
20130207,2/7/13,0.181432232,,,2/7/13 0:00,21.55,73905.38
20130208,2/8/13,0.181432232,,,2/8/13 0:00,22.4,53216.59
20130209,2/9/13,0.31718812,,,2/9/13 0:00,23.19,42377.2
20130210,2/10/13,0.31718812,,,2/10/13 0:00,23.41,60795.35
20130211,2/11/13,0.31718812,,,2/11/13 0:00,24.04,35954.71
20130212,2/12/13,0.31718812,,,2/12/13 0:00,25.06,86860.84
20130213,2/13/13,0.31718812,,,2/13/13 0:00,25.47,97711.36
20130214,2/14/13,0.31718812,,,2/14/13 0:00,25.41,162321.04
20130215,2/15/13,0.31718812,,,2/15/13 0:00,26.95,58499.74
20130216,2/16/13,0.31718812,,,2/16/13 0:00,27.07,24540.34
20130217,2/17/13,0.31718812,,,2/17/13 0:00,26.38,87142.75
20130218,2/18/13,0.31718812,,,2/18/13 0:00,26.73,34429.7
20130219,2/19/13,0.31718812,,,2/19/13 0:00,28.18,112747.46
20130220,2/20/13,0.31718812,,,2/20/13 0:00,29.47,42609.44
20130221,2/21/13,0.31718812,,,2/21/13 0:00,29.68,40153.53
20130222,2/22/13,0.31718812,,,2/22/13 0:00,30.44,76379.26
20130223,2/23/13,0.31718812,,,2/23/13 0:00,28.97,80200.86
20130224,2/24/13,0.31718812,,,2/24/13 0:00,29.75,26618.85
20130225,2/25/13,0.31718812,,,2/25/13 0:00,30.04,29653.38
20130226,2/26/13,0.31718812,,,2/26/13 0:00,30.95,49485.72
20130227,2/27/13,0.31718812,,,2/27/13 0:00,31.08,37887.46
20130228,2/28/13,0.31718812,,,2/28/13 0:00,32.67,138125.89
20130301,3/1/13,0.31718812,,,3/1/13 0:00,34.19,45365.71
20130302,3/2/13,0.31718812,,,3/2/13 0:00,33.86,39788.04
20130303,3/3/13,0.31718812,,,3/3/13 0:00,34.01,14788.04
20130304,3/4/13,0.31718812,,,3/4/13 0:00,35.29,57204.62
20130305,3/5/13,0.31718812,,,3/5/13 0:00,39.28,95428.74
20130306,3/6/13,0.31718812,,,3/6/13 0:00,45.18,141609.11
20130307,3/7/13,0.31718812,,,3/7/13 0:00,40.87,178461.07
20130308,3/8/13,0.31718812,,,3/8/13 0:00,43.08,52731.55
20130309,3/9/13,0.31718812,,,3/9/13 0:00,45.28,50008.93
20130310,3/10/13,0.31718812,,,3/10/13 0:00,46.69,40086.8
20130311,3/11/13,0.31718812,,,3/11/13 0:00,47.41,48474.26
20130312,3/12/13,0.31718812,,,3/12/13 0:00,43.65,201142.18
20130313,3/13/13,0.31718812,,,3/13/13 0:00,46.16,57816.08
20130314,3/14/13,0.31718812,,,3/14/13 0:00,47.08,43657.33
20130315,3/15/13,0.31718812,,,3/15/13 0:00,46.68,23820.41
20130316,3/16/13,0.31718812,,,3/16/13 0:00,46.52,19493.93
20130317,3/17/13,0.31718812,,,3/17/13 0:00,46.85,17862.61
20130318,3/18/13,0.31718812,,,3/18/13 0:00,48.63,77088.62
20130319,3/19/13,0.31718812,,,3/19/13 0:00,55.13,129661.05
20130320,3/20/13,0.31718812,,,3/20/13 0:00,61.85,105618.69
20130321,3/21/13,0.31718812,,,3/21/13 0:00,68.89,111903.98
20130322,3/22/13,0.31718812,,,3/22/13 0:00,70.45,83401.32
20130323,3/23/13,0.447703396,,,3/23/13 0:00,62.5,168065.43
20130324,3/24/13,0.447703396,,,3/24/13 0:00,68.62,48755.53
20130325,3/25/13,0.447703396,,,3/25/13 0:00,74.02,91673.15
20130326,3/26/13,0.447703396,,,3/26/13 0:00,77.23,67194.66
20130327,3/27/13,0.447703396,,,3/27/13 0:00,84.86,83382.56
20130328,3/28/13,0.447703396,,,3/28/13 0:00,87.49,160136.7
20130329,3/29/13,0.447703396,,,3/29/13 0:00,88.81,92719.81
20130330,3/30/13,0.447703396,,,3/30/13 0:00,91.55,41577.77
20130331,3/31/13,0.447703396,,,3/31/13 0:00,92.59,24755.36
20130401,4/1/13,0.447703396,,,4/1/13 0:00,99.53,106952.72
20130402,4/2/13,0.447703396,,,4/2/13 0:00,107.26,98947.44
20130403,4/3/13,0.447703396,,,4/3/13 0:00,127.86,186715.45
20130404,4/4/13,0.447703396,,,4/4/13 0:00,131.07,102388.61
20130405,4/5/13,0.447703396,,,4/5/13 0:00,138.43,83915.14
20130406,4/6/13,0.447703396,,,4/6/13 0:00,140.64,27491.06
20130407,4/7/13,0.294721656,,,4/7/13 0:00,152.79,76530.37
20130408,4/8/13,0.294721656,,,4/8/13 0:00,180.39,139433.88
20130409,4/9/13,0.294721656,,,4/9/13 0:00,213.72,127331.55
20130410,4/10/13,0.294721656,,,4/10/13 0:00,181.66,257543.79
20130411,4/11/13,0.188256795,,,4/11/13 0:00,131.95,218886.18
20130412,4/12/13,0.188256795,,,4/12/13 0:00,84.59,659349.51
20130413,4/13/13,0.188256795,,,4/13/13 0:00,108.55,287902.09
20130414,4/14/13,0.212966123,,,4/14/13 0:00,97.19,187043.01
20130415,4/15/13,0.212966123,,,4/15/13 0:00,86.91,286922.12
20130416,4/16/13,0.258996609,,,4/16/13 0:00,65.39,668549.18
20130417,4/17/13,0.320988596,,,4/17/13 0:00,84.85,396386.46
20130418,4/18/13,0.402667513,,,4/18/13 0:00,96.78,208772.7
20130419,4/19/13,0.2587396,,,4/19/13 0:00,118.46,315048.39
20130420,4/20/13,0.283441878,,,4/20/13 0:00,122.9,91508.55
20130421,4/21/13,0.191815159,,,4/21/13 0:00,119.29,136283.87
20130422,4/22/13,0.18916013,,,4/22/13 0:00,121.95,74864.49
20130423,4/23/13,0.142652858,,,4/23/13 0:00,132.85,143728.1
20130424,4/24/13,0.260554446,,,4/24/13 0:00,150.41,275135.75
20130425,4/25/13,0.252603451,,,4/25/13 0:00,142.61,225732
20130426,4/26/13,0.257744396,,,4/26/13 0:00,131.75,156197.3
20130427,4/27/13,0.286151319,,,4/27/13 0:00,130.5,75215.8
20130428,4/28/13,0.273865784,,,4/28/13 0:00,132.3,37734.27
20130429,4/29/13,0.396408601,,,4/29/13 0:00,141.03,91371.08
20130430,4/30/13,0.235238109,,,4/30/13 0:00,138.98,82894.47
20130501,5/1/13,0.156028799,,,5/1/13 0:00,120.87,225293.59
